,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Gold,Silver,Bronze,Total,Sum
44,JOR,0.0014854716997173918,0.0015322902616683833,0.0001613644568614748,0.0009974649354342474,0.0,1.0,0.0,1.0,1.0
67,SUI,0.0012589646469312104,0.001841300135223651,0.0009287631989338159,0.0011776873618428597,0.0,1.0,0.0,1.0,1.0
86,PAN,1.8450184501845e-05,0.003607887953818823,8.389261744966249e-06,0.001150913229063764,0.0,1.0,0.0,1.0,1.0
116,MGL,1.657384880346791e-05,0.0010918749873321451,0.0017467471214272757,0.0010430311521822315,0.0,0.0,1.0,1.0,1.0
131,CYP,0.0,0.0020761455031156804,0.00029967173339864346,0.0007568575845469832,0.0,1.0,0.0,1.0,1.0
140,FIJ,0.0010360677332608326,0.002003413261243864,0.00019313505554121983,0.001003929879312193,0.0,1.0,0.0,1.0,1.0
155,SVK,0.0010081959987650213,0.0009995653065561266,0.0021491812618310555,0.0015665730484213359,0.0,0.0,1.0,2.0,1.0
166,PRK,0.0011716528178445298,0.001270084952496627,0.0018697037194793126,0.001082206719303531,0.0,0.0,1.0,1.0,1.0
169,CPV,0.0,0.0,0.002452964698099298,0.000905270361109677,0.0,0.0,1.0,1.0,1.0
176,GRN,7.223042903604911e-05,0.0005053201568533787,0.0035003498134328075,0.0015219754713841347,0.0,0.0,1.0,2.0,1.0
190,ALB,0.0,0.0014728742928790445,0.002954116934204198,0.0015582577107144798,0.0,0.0,1.0,2.0,1.0
3,FIN,0.00019899011548207374,0.0008949387305134663,0.0008743267829379824,0.0005556052845360487,0.0,0.0,0.0,1.0,0.0
6,EST,0.00026377823933639363,4.947720560163796e-05,0.0007759717143231619,0.0005858492760592569,0.0,0.0,0.0,1.0,0.0
14,CHA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
16,SUD,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
21,CMR,3.1065371932625687e-06,7.845517517425276e-06,0.00018285177288949434,6.960620910345334e-05,0.0,0.0,0.0,0.0,0.0
26,NCA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
28,NGR,0.0,8.118947516720776e-05,0.0,5.671149158512124e-05,0.0,0.0,0.0,0.0,0.0
30,KUW,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
33,IRQ,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
34,LBN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
